sentiment_code,song,artist,URL
116,1,Wasted (feat. Lil Uzi Vert),Juice WRLD,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
117,1,STARGAZING,Travis Scott,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
118,1,Psycho (feat. Ty Dolla $ign),Post Malone,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
119,1,JAPAN,Famous Dex,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
120,1,Wish - Trippie Mix,Trippie Redd,https://open.spotify.com/track/6IpvkngH89cA3hhPC84Leg
121,1,Taking A Walk,Trippie Redd,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
122,1,Shake It Up,Trippie Redd,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz
123,1,Chopsticks,YBN Almighty Jay,https://open.spotify.com/track/48NWUlHl5qWOvDKrsoox4L
124,1,No Hook,DJ Weel,https://open.spotify.com/track/0JLkjzSXaNgLgiL07CX9gA
125,1,SICKO MODE,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
126,1,Numb / Encore,JAY-Z,https://open.spotify.com/track/5sNESr6pQfIhL3krM8CtZn
127,1,ZEZE (feat. Travis Scott & Offset),Kodak Black,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
128,1,YOSEMITE,Travis Scott,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
129,1,Things I Brought,UnoTheActivist,https://open.spotify.com/track/3gvgn5f7OvkrfLEXT4LTM6
130,1,Armed And Dangerous,Juice WRLD,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
131,1,Codeine Dreaming (feat. Lil Wayne),Kodak Black,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
132,1,HOUSTONFORNICATION,Travis Scott,https://open.spotify.com/track/58TaFP5j5i9swOf584yon2
133,1,LOVE. FEAT. ZACARI.,Kendrick Lamar,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
134,1,Topanga,Trippie Redd,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
135,1,Noticed,Lil Mosey,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
136,1,Drip Too Hard (Lil Baby & Gunna),Lil Baby,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
137,1,1400 / 999 Freestyle,Trippie Redd,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
138,1,Hard Work Pays Off,Future,https://open.spotify.com/track/6gzIcEUuswJQGfJNPYMjjv
139,1,First Off (feat. Travis Scott),Future,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG
140,1,You See Me,Childish Gambino,https://open.spotify.com/track/1eEPKr5gzWVSZKiMWIMZYa
141,1,Yacht Club (feat. Juice WRLD),Lil Yachty,https://open.spotify.com/track/5R2rsbwCDXORX2tLfprRmM
142,1,Day 'N' Nite (nightmare),Kid Cudi,https://open.spotify.com/track/5FEXPoPnzueFJQCPRIrC3c
143,1,Kamikaze,Lil Mosey,https://open.spotify.com/track/1iPBD72u3nAyFEeardYuBV
144,1,Fine China,Future,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
145,1,MIDDLE CHILD,J. Cole,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
146,1,wonderful,Travis Scott,https://open.spotify.com/track/1cZlBZwnwGPtYeRIeQcoFh
147,1,Yes Indeed,Lil Baby,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
148,1,KIKA,6ix9ine,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
149,1,Robbery,Juice WRLD,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
150,1,Pull Up,Lil Mosey,https://open.spotify.com/track/6dww8y59MiIREzWonqzGOy
151,1,Sanguine Paradise,Lil Uzi Vert,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
152,1,90210 (feat. Kacy Hill),Travis Scott,https://open.spotify.com/track/51EC3I1nQXpec4gDk0mQyP
153,1,Space Cadet (feat. Gunna),Metro Boomin,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
154,1,lose,Travis Scott,https://open.spotify.com/track/2AGUFka8kBWCM47h5uTlDb
155,1,Ridin (feat. Landon Cube & YBN Nahmir),Yung Bans,https://open.spotify.com/track/1zQ6uJovEnJTvExEfAL6vT
156,1,Sail,AWOLNATION,https://open.spotify.com/track/5xhQChGGhKLWqBqX4XhtYE
157,1,No Romance,16yrold,https://open.spotify.com/track/1EuVCg1G7fVjuhKurU7m2b
158,1,Baby Sitter (feat. Offset),DaBaby,https://open.spotify.com/track/7f1zjZG77S891Uv4O68yfk
159,1,Jet Lag (feat. Young Scooter),Future,https://open.spotify.com/track/2OsDoAzo5SGq10qwmKSQBv
160,1,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",DJ Snake,https://open.spotify.com/track/6mCqxnyOhr4tHMbRbQL4Yn
161,1,Midnight City,M83,https://open.spotify.com/track/1eyzqe2QqGZUmfcPZtrIyt
162,2,We'll Go Down Together. Silence Against Rage,Sundrugs,https://open.spotify.com/track/07wMKdWpzd1fjdaiL8gq75
163,2,The Majestic Finesse to Soul,Eguana,https://open.spotify.com/track/5dh3eECuIqUIcAwcoQ1WDE
164,2,Haunted Thoughts - Omni Festival Live 2005 Mix,Various Artists,https://open.spotify.com/track/75YdwXYVclhXzu5t1dsAD2
165,2,Babylon's Garden,Kick Bong,https://open.spotify.com/track/70yhF3x66z5GFxr37MfUOP
166,2,Dexter Blood Theme - Variations,Various Artists,https://open.spotify.com/track/244mgeC70pGTh9DtFYZ8I2
167,2,Response One,Matthew Whiteside,https://open.spotify.com/track/1TQEGg1eb1zBpsk1knIJ61
168,2,Nitrogen,Zero Cult,https://open.spotify.com/track/4A5ijhMpgU0aXv75ZAl3NY
169,2,Monument,Magnetik,https://open.spotify.com/track/6FflO396wzal1RS3EmHOfZ
170,2,The Vault (From Doomsday Vault Original Game Soundtrack),Jeremy Cullen,https://open.spotify.com/track/5hft1C0KJKyEjSmJaoDuD5
171,2,Dawn & Dusk,Will-O'-The-Wisp,https://open.spotify.com/track/2usRHlxJXn5myL7KdmZKRR
172,2,Finally,Gianluca Pischedda,https://open.spotify.com/track/3JktfCQonXoXU5PMFxrdb5
173,2,Going Away,Potlatch,https://open.spotify.com/track/2FE5CzaIHzfLVD99af6IC7
174,2,Reactor 5,Sulkdrugs,https://open.spotify.com/track/2iHaAxXz56wbzO42tldUoA
175,2,Aymata,Jay Wud,https://open.spotify.com/track/4ymYMavgd6Ast1o0HBSfqO
176,2,Saving Nature,Germind,https://open.spotify.com/track/4GgL8NlGJffAsIWzE7oGJ3
177,2,Disc 2 - The Beginning,Wichniowski,https://open.spotify.com/track/6W5WL21tpJWgoL4HSslA2t
178,2,From Strings to Wings,Murat Sayginer,https://open.spotify.com/track/4nsTAbAWlKWUxWFn99TyqY
179,2,The Last Day Of The World,Germind,https://open.spotify.com/track/7aLQX3LtDpOAFXdnJldPPf
180,2,Reconditus,Various Artists,https://open.spotify.com/track/09urbhp8z2MPcj6KYv7pvP
181,2,Through The Fog,Rising Galaxy,https://open.spotify.com/track/7IhIKBNY28qWUowHuNQLAl
182,2,Mourning Fields,Shunkan Idou,https://open.spotify.com/track/0UpWFloihjkIJqqvB65F8g
183,2,M1cr0rgan1sm,Earth Connect,https://open.spotify.com/track/7pbvKKMmTuqprpqqvNX42Z
184,2,Fading Out,Side Liner,https://open.spotify.com/track/5Q2ph47XzvxAl3XUYClQOF
185,2,The End of Time,John Spanos,https://open.spotify.com/track/2PWw9GmnS9eU5UCJrGOV3S
186,2,The Business End of a Crowbar,Apocalypse Rex,https://open.spotify.com/track/3FYalWptsThMKYefYndOA7
187,2,Mind Spread,Karmahacker,https://open.spotify.com/track/30jVyPePHtNqmfZddjG6ED
188,2,Always Running,Stephen Weber,https://open.spotify.com/track/1dp6B5bOaml4Bid4zNBBAZ
189,3,Beautiful People (feat. Khalid),Ed Sheeran,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97
190,3,Sixteen,Ellie Goulding,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
191,3,What A Man Gotta Do,Jonas Brothers,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
192,3,Sing It With Me,JP Cooper,https://open.spotify.com/track/60DwQiwwglVkTkTwDTTEId
193,3,What I Like About You (feat. Theresa Rex),Jonas Blue,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ
194,3,Never Really Over,Katy Perry,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
195,3,I Don't Care (with Justin Bieber),Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
196,3,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,https://open.spotify.com/track/2wenGTypSYHXl1sN1pNC7X
197,3,Never Seen the Rain,Tones And I,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
198,3,Younger,Jonas Blue,https://open.spotify.com/track/4D7ERaKgv8NAeck8RzUtRz
199,3,Harder,Jax Jones,https://open.spotify.com/track/2b1BwUGGyKq0CoJd8G1B6M
200,3,Rescue Me,OneRepublic,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
201,3,Keep You Mine,NOTD,https://open.spotify.com/track/0OJN2A3Qyvd7pwSF0AIteC
202,3,Love You Better,John De Sohn,https://open.spotify.com/track/4UuGBDjt8gLXsANZqZxMBz
203,3,Polaroid,Jonas Blue,https://open.spotify.com/track/1wsLHgXJ4SKIfd5ePSX1hD
204,3,Family,The Chainsmokers,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL
205,3,Only Human,Jonas Brothers,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
206,3,No One Compares To You,Jack & Jack,https://open.spotify.com/track/2jZIfoe48eUeOEnP9Ho4h2
207,3,Friends,Ella Henderson,https://open.spotify.com/track/18RdChpgvaAO7GXDjLks2B
208,3,Drown (feat. Clinton Kane),Martin Garrix,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
209,3,Call You Mine,The Chainsmokers,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
210,3,Small Talk,Katy Perry,https://open.spotify.com/track/4NmE2ytXI8S2svTRSmEdpO
211,3,Get To Know You,Samantha Harvey,https://open.spotify.com/track/3oiLlbBynuErymca4Dwp5H
212,3,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
213,3,Higher Love,Kygo,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
214,3,I Could Get Used To This,Martin Jensen,https://open.spotify.com/track/5BDmCfpzQeXT4AuxyO5ATs
215,3,Rewrite The Stars (with James Arthur & Anne-Marie),Various Artists,https://open.spotify.com/track/78nplE9X2ZGvQh3TKgvldE
216,3,Big Plans,Why Don't We,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
217,3,Can We Pretend (feat. Cash Cash),P!nk,https://open.spotify.com/track/3O0e0LHTpza0rYVDbZfQ4r
218,3,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",Bebe Rexha,https://open.spotify.com/track/1i3z3GR1JtLswOSJNO0BQw
219,3,In Betweenin',AUSTN,https://open.spotify.com/track/1UotQ5kMAEiCJVisAVkxOh
220,3,Body Back (feat. Maia Wright),Gryffin,https://open.spotify.com/track/1z1XegUChLLQfcbtIK8ABn
221,3,2 Hearts (feat. Gia Koka),Sam Feldt,https://open.spotify.com/track/0EdgK7ASb4kfRkW8pVMN02
222,3,Ooh Girl (feat. A Boogie Wit da Hoodie),Kris Kross Amsterdam,https://open.spotify.com/track/1mKNyZCNDueEASgBgZuLdA
223,3,Perfect (feat. Haris),Lucas & Steve,https://open.spotify.com/track/30cW9fD87IgbYFl8o0lUze
